GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
user,com.mycompany.maven,Hello,0,44,0,6,0,10,0,6,0,3
user,com.mycompany.maven,App,7,0,0,0,3,0,2,0,2,0
user,com.mycompany.maven,HelloApp,4,62,0,2,2,17,0,4,0,3
